id,target,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
24541,1,Female,Loyal Customer,64,Personal Travel,Eco,998,5,2,2,2,2,2,3,5,5,5,5,4,5,4,24,10.0
24553,1,Female,Loyal Customer,47,Personal Travel,Eco,1018,5,1,1,1,5,5,5,5,2,1,1,2,1,5,0,0.0
24554,1,Female,Loyal Customer,20,Personal Travel,Eco,1890,4,4,4,4,5,5,5,5,3,4,5,5,5,5,0,0.0
24579,1,Female,Loyal Customer,32,Personal Travel,Eco,2784,1,1,2,1,5,5,5,5,5,2,5,4,4,5,13,1.0
24634,0,Male,Loyal Customer,15,Personal Travel,Eco,2251,3,4,3,1,1,3,1,1,3,4,4,5,5,1,21,0.0
24688,1,Female,Loyal Customer,40,Personal Travel,Eco,2196,2,4,2,2,4,2,3,5,5,5,5,2,5,5,42,31.0
24767,1,Female,Loyal Customer,49,Personal Travel,Eco,485,5,2,2,2,5,5,5,5,1,2,2,5,3,5,0,0.0
24770,1,Female,Loyal Customer,32,Personal Travel,Eco,1998,4,4,4,4,3,5,5,5,5,5,5,5,5,5,33,26.0
24798,1,Female,Loyal Customer,56,Personal Travel,Eco,476,4,4,4,4,5,5,4,5,5,5,5,5,5,4,0,0.0
24808,0,Male,Loyal Customer,45,Personal Travel,Eco Plus,1279,3,4,3,1,3,3,3,3,4,5,1,1,5,3,23,35.0
24832,1,Female,Loyal Customer,17,Personal Travel,Business,1649,3,3,3,3,5,5,5,5,4,3,4,4,5,5,50,43.0
24915,1,Female,Loyal Customer,9,Personal Travel,Eco,1411,5,5,5,5,2,5,5,5,5,5,5,4,5,4,23,21.0
24983,1,Female,Loyal Customer,20,Personal Travel,Eco,929,1,1,1,1,4,4,1,5,5,5,5,3,5,4,0,0.0
24986,1,Female,Loyal Customer,43,Personal Travel,Eco,75,1,1,1,1,5,5,5,5,3,4,5,5,5,5,0,10.0
24991,1,Female,Loyal Customer,59,Personal Travel,Eco,79,1,1,1,1,3,4,4,5,5,5,5,4,5,5,0,0.0
25025,0,Male,Loyal Customer,19,Personal Travel,Eco,3151,3,4,3,2,1,3,1,1,3,2,4,5,4,1,0,0.0
25035,0,Male,Loyal Customer,23,Personal Travel,Eco,3811,3,4,3,2,1,3,1,1,4,4,4,3,4,1,0,7.0
25036,0,Male,Loyal Customer,31,Personal Travel,Eco,2715,3,4,3,2,5,3,1,5,3,3,1,4,5,5,30,29.0
25155,1,Female,Loyal Customer,8,Personal Travel,Eco,2812,2,2,2,2,3,5,4,5,5,5,5,5,5,4,25,19.0
25216,1,Female,Loyal Customer,29,Personal Travel,Eco,2299,5,5,5,5,2,5,4,5,5,5,5,3,5,3,0,0.0
25296,0,Male,Loyal Customer,50,Personal Travel,Eco,1721,3,4,3,2,3,3,3,3,3,4,4,5,5,3,0,9.0
25300,0,Male,Loyal Customer,61,Personal Travel,Eco,1407,3,4,3,2,4,3,4,4,5,2,5,5,5,4,0,5.0
25317,0,Male,Loyal Customer,52,Personal Travel,Eco Plus,1971,3,4,3,2,2,3,2,2,3,3,5,3,5,2,55,51.0
25325,1,Female,Loyal Customer,35,Personal Travel,Eco Plus,1783,3,3,3,3,4,4,5,5,5,5,5,5,5,4,65,76.0
25370,1,Female,Loyal Customer,65,Personal Travel,Eco,589,4,4,4,4,2,4,5,5,5,5,5,4,5,4,3,2.0
25392,0,Male,Loyal Customer,11,Personal Travel,Eco,1836,3,4,3,2,4,3,4,4,5,2,5,3,5,4,0,10.0
25419,1,Female,Loyal Customer,67,Personal Travel,Eco,481,1,1,1,1,4,4,5,5,5,5,5,4,5,4,10,0.0
25449,1,Female,Loyal Customer,53,Personal Travel,Eco,429,5,5,4,4,5,5,5,5,5,5,5,1,5,5,8,0.0
25548,1,Female,Loyal Customer,17,Personal Travel,Eco,1221,4,4,4,4,3,4,4,5,5,5,5,3,5,3,0,0.0
25715,0,Male,Loyal Customer,44,Personal Travel,Eco,2960,3,4,3,3,5,3,5,5,4,4,4,2,4,5,27,26.0
25730,0,Male,Loyal Customer,44,Personal Travel,Eco Plus,2782,3,4,3,3,3,3,5,3,3,3,4,5,4,3,38,33.0
25827,0,Male,Loyal Customer,8,Personal Travel,Eco,2545,3,4,3,3,5,3,2,5,4,3,2,2,4,5,0,0.0
25829,1,Female,Loyal Customer,30,Personal Travel,Eco,2257,2,2,2,2,4,5,5,5,5,5,5,4,5,4,16,12.0
25931,0,Male,Loyal Customer,63,Personal Travel,Eco,2727,3,4,3,3,1,3,1,1,1,4,4,1,4,1,22,36.0
25981,0,Male,Loyal Customer,35,Personal Travel,Eco,1990,3,4,3,3,1,3,1,1,1,3,4,3,4,1,0,0.0
25999,0,Male,Loyal Customer,59,Personal Travel,Eco,2013,3,4,3,3,4,3,4,4,2,5,4,4,3,4,0,0.0
26072,0,Male,Loyal Customer,43,Personal Travel,Eco,1888,3,4,3,3,4,3,4,4,4,5,4,3,4,4,88,84.0
26126,0,Male,Loyal Customer,46,Personal Travel,Eco,1891,3,4,3,3,3,3,3,3,5,5,5,3,4,3,1,0.0
26145,0,Male,Loyal Customer,69,Personal Travel,Eco,2523,3,4,3,3,1,3,1,1,1,5,5,4,5,1,0,0.0
26218,1,Female,Loyal Customer,68,Personal Travel,Business,655,5,5,5,5,1,3,5,5,5,5,5,5,5,5,24,17.0
26225,0,Male,Loyal Customer,11,Personal Travel,Eco,2284,3,4,3,3,4,3,4,4,5,4,4,5,4,4,0,0.0
26293,1,Female,Loyal Customer,53,Personal Travel,Eco,596,4,4,4,4,3,5,4,5,5,5,5,3,5,4,0,0.0
26327,1,Female,Loyal Customer,32,Personal Travel,Eco,1496,5,1,5,1,1,2,1,5,5,5,5,4,5,1,81,63.0
26366,0,Male,Loyal Customer,54,Personal Travel,Eco,1318,3,4,3,3,1,3,3,1,3,2,4,4,5,1,0,0.0
26437,1,Female,Loyal Customer,21,Personal Travel,Eco,2011,5,5,5,5,2,2,3,5,5,5,5,2,5,5,1,0.0
26444,1,Female,Loyal Customer,30,Personal Travel,Eco,1323,5,3,3,3,1,5,1,5,5,5,5,5,5,2,0,0.0
26481,1,Female,Loyal Customer,53,Personal Travel,Eco,470,4,4,3,4,4,4,4,5,5,5,5,5,5,3,0,0.0
26619,1,Female,Loyal Customer,29,Personal Travel,Eco,1207,5,4,4,4,3,3,5,5,5,5,5,5,5,4,14,8.0
26621,1,Female,Loyal Customer,14,Personal Travel,Eco,1628,5,5,5,5,3,2,4,5,5,5,5,5,5,3,0,0.0
26720,1,Female,Loyal Customer,61,Personal Travel,Eco,239,5,5,5,5,2,4,4,5,5,5,5,4,5,3,0,0.0
26726,0,Male,Loyal Customer,46,Personal Travel,Eco,1486,3,4,3,3,1,3,1,1,4,4,3,3,4,1,0,0.0
26854,1,Female,Loyal Customer,24,Personal Travel,Eco,3580,5,5,2,2,1,3,4,5,5,5,5,1,5,4,0,0.0
26859,1,Female,Loyal Customer,65,Personal Travel,Business,2484,5,1,1,1,5,5,5,5,2,2,4,5,2,5,11,0.0
26990,1,Female,Loyal Customer,30,Personal Travel,Eco Plus,2454,2,2,3,2,4,4,5,5,5,5,5,4,5,4,13,4.0
26997,1,Female,Loyal Customer,7,Personal Travel,Eco,3108,5,5,5,5,3,2,5,5,5,5,5,4,5,2,0,0.0
27085,0,Male,Loyal Customer,70,Personal Travel,Eco,2439,3,4,3,4,3,3,5,3,1,1,3,3,4,3,0,25.0
27089,1,Female,Loyal Customer,45,Personal Travel,Eco,1021,2,2,2,2,5,4,5,5,5,5,5,4,5,4,11,0.0
27163,1,Female,Loyal Customer,48,Personal Travel,Eco,909,1,1,1,1,5,5,5,5,1,5,2,4,4,5,20,8.0
27212,0,Male,Loyal Customer,66,Personal Travel,Business,833,3,4,3,4,3,4,5,3,3,3,3,3,3,4,15,2.0
27270,1,Female,Loyal Customer,12,Personal Travel,Eco,2181,2,2,2,2,2,4,5,5,5,5,5,5,5,5,80,70.0
27346,0,Male,Loyal Customer,57,Personal Travel,Eco,2148,3,4,3,4,4,3,4,4,5,4,5,5,4,4,0,0.0
27418,1,Female,Loyal Customer,21,Personal Travel,Eco,2030,2,2,3,2,4,5,4,5,5,5,5,3,5,4,0,0.0
27450,1,Female,Loyal Customer,49,Personal Travel,Eco,441,5,5,5,5,5,5,5,5,2,3,1,2,5,5,2,0.0
27532,1,Female,Loyal Customer,32,Personal Travel,Eco,1565,4,4,4,4,5,4,2,5,5,5,5,3,5,1,0,0.0
27570,1,Female,Loyal Customer,18,Personal Travel,Business,1669,1,1,2,1,5,4,3,5,5,5,5,4,5,3,0,0.0
27586,0,Male,Loyal Customer,12,Personal Travel,Eco,1801,3,4,3,4,4,3,4,4,3,2,4,3,4,4,0,0.0
27615,1,Female,Loyal Customer,18,Personal Travel,Eco,1190,5,5,4,5,3,4,4,5,5,5,5,5,5,4,0,0.0
27632,0,Male,Loyal Customer,70,Personal Travel,Business,285,3,4,3,4,3,5,4,4,4,3,4,5,4,4,17,14.0
27683,1,Female,Loyal Customer,13,Personal Travel,Eco,1226,2,2,2,2,2,3,1,5,5,5,5,3,5,3,0,0.0
27689,1,Female,Loyal Customer,45,Personal Travel,Eco,123,1,1,1,1,2,4,4,5,5,5,5,5,5,3,12,23.0
27802,0,Male,Loyal Customer,54,Personal Travel,Eco,1965,3,4,3,5,4,3,4,4,5,5,4,3,4,4,13,26.0
27826,1,Female,Loyal Customer,30,Personal Travel,Eco,1858,5,5,5,5,4,5,1,5,5,5,5,2,5,4,0,0.0
27875,1,Female,Loyal Customer,30,Personal Travel,Eco,1946,5,3,3,3,5,4,5,5,5,5,5,2,5,5,0,0.0
27877,1,Female,Loyal Customer,68,Personal Travel,Business,655,5,5,5,5,2,5,5,5,5,5,5,3,5,3,0,7.0
27889,1,Female,Loyal Customer,41,Personal Travel,Eco,1724,5,3,3,3,1,4,3,5,5,5,5,3,5,2,22,25.0
27912,1,Female,Loyal Customer,68,Personal Travel,Eco Plus,480,5,5,5,5,4,4,4,5,5,5,5,4,5,4,0,0.0
27936,0,Male,Loyal Customer,46,Personal Travel,Eco,1946,3,4,3,5,4,3,4,4,5,2,5,3,4,4,0,0.0
27941,0,Male,Loyal Customer,56,Personal Travel,Eco,1835,3,4,3,5,1,3,1,1,4,3,5,3,4,1,15,7.0
27977,1,Female,Loyal Customer,42,Personal Travel,Eco,352,4,4,3,4,3,4,4,5,5,5,5,3,5,4,0,0.0
27995,0,Male,Loyal Customer,8,Personal Travel,Eco,1807,3,4,3,5,5,3,5,5,3,5,5,4,5,5,0,26.0
28014,1,Female,Loyal Customer,32,Personal Travel,Eco Plus,1779,1,1,1,1,3,4,5,5,5,5,5,5,5,5,0,1.0
28143,1,Female,Loyal Customer,48,Personal Travel,Eco,853,2,2,2,2,5,5,5,5,5,4,5,3,5,5,0,1.0
28145,0,Male,Loyal Customer,54,Personal Travel,Eco,2447,3,4,4,3,3,4,5,3,4,4,5,5,4,3,39,33.0
28185,0,Male,Loyal Customer,10,Personal Travel,Eco Plus,2361,3,4,4,4,4,4,5,4,4,5,3,3,4,4,3,0.0
28188,0,Male,Loyal Customer,23,Personal Travel,Eco Plus,2153,3,4,4,4,1,4,1,1,3,3,5,3,3,1,0,0.0
28209,0,Male,Loyal Customer,22,Personal Travel,Eco,2147,3,4,4,4,3,4,3,3,5,2,5,4,4,3,0,0.0
28287,0,Male,Loyal Customer,41,Personal Travel,Eco,1038,3,4,5,4,2,5,2,2,5,5,4,5,4,2,108,98.0
28292,1,Female,Loyal Customer,64,Personal Travel,Eco Plus,281,3,1,3,3,4,4,5,5,5,5,5,3,5,4,0,3.0
28301,1,Female,Loyal Customer,51,Personal Travel,Eco Plus,226,1,1,1,1,4,4,5,5,5,5,5,4,5,4,0,0.0
28312,0,Male,Loyal Customer,22,Personal Travel,Eco,1609,3,5,0,2,2,0,2,2,5,3,5,4,2,2,113,103.0
28326,1,Female,Loyal Customer,57,Personal Travel,Eco,99,5,1,1,1,4,3,2,5,5,5,5,5,5,1,8,14.0
28371,0,Male,Loyal Customer,43,Personal Travel,Eco,1893,3,5,0,4,3,0,3,3,2,4,3,4,3,3,0,0.0
28401,0,Male,Loyal Customer,27,Personal Travel,Eco,1562,3,5,1,5,5,1,1,5,1,2,3,3,5,5,0,0.0
28438,0,Male,Loyal Customer,53,Personal Travel,Eco,3725,3,5,2,2,5,2,3,5,3,3,4,3,5,5,0,0.0
28453,0,Male,Loyal Customer,32,Personal Travel,Eco,2492,3,5,2,2,2,2,1,2,4,5,4,3,4,2,0,0.0
28470,0,Male,Loyal Customer,54,Personal Travel,Eco,1234,3,5,2,2,5,2,1,5,5,2,5,4,4,5,0,0.0
28526,1,Female,Loyal Customer,24,Personal Travel,Eco,2963,5,5,5,5,4,4,4,5,5,5,5,5,5,3,0,18.0
28541,0,Male,Loyal Customer,65,Personal Travel,Eco,1935,3,5,2,4,3,2,3,3,4,2,2,5,4,3,52,49.0
28543,0,Female,Loyal Customer,57,Personal Travel,Eco,2371,3,5,2,4,2,3,3,3,3,4,5,3,5,3,189,178.0
28595,0,Male,Loyal Customer,18,Personal Travel,Eco Plus,4250,3,5,3,1,3,2,2,3,5,5,4,2,3,2,153,140.0
28622,1,Female,Loyal Customer,44,Personal Travel,Eco,1923,2,2,2,2,1,5,3,5,5,5,5,3,5,4,0,0.0
28668,1,Female,Loyal Customer,29,Personal Travel,Eco,2567,2,2,5,2,1,5,3,5,5,5,5,1,5,5,37,38.0
28724,1,Female,Loyal Customer,51,Personal Travel,Eco,1079,5,2,2,2,2,3,3,5,5,5,5,5,5,1,97,100.0
28797,0,Male,Loyal Customer,36,Personal Travel,Eco,2545,3,5,3,1,4,3,4,4,3,4,4,5,5,4,23,11.0
28803,1,Female,Loyal Customer,48,Personal Travel,Eco,875,2,2,2,2,5,5,5,5,5,4,2,4,3,5,0,0.0
28818,1,Female,Loyal Customer,49,Personal Travel,Eco,800,5,5,5,5,3,5,4,5,5,5,5,5,5,5,0,0.0
28990,1,Female,Loyal Customer,62,Personal Travel,Eco,535,2,2,2,2,5,5,5,5,4,2,4,5,4,5,0,0.0
29126,1,Female,Loyal Customer,15,Personal Travel,Eco,1841,4,4,1,4,3,4,5,5,5,5,5,5,5,5,1,0.0
29136,0,Female,Loyal Customer,31,Personal Travel,Eco,2144,3,5,3,1,3,1,1,5,3,3,1,1,4,1,164,156.0
29141,1,Female,Loyal Customer,42,Personal Travel,Business,253,4,4,4,4,3,4,4,5,5,5,5,5,5,5,5,1.0
29193,1,Female,Loyal Customer,53,Personal Travel,Eco,97,1,1,1,1,3,5,5,5,5,5,5,5,5,4,0,0.0
29237,0,Male,Loyal Customer,15,Personal Travel,Business,3553,3,5,3,2,3,2,2,5,4,5,5,2,3,2,0,3.0
29264,0,Male,Loyal Customer,19,Personal Travel,Eco,3126,3,5,3,2,4,3,4,4,5,3,3,1,3,4,0,0.0
29328,1,Female,Loyal Customer,26,Personal Travel,Eco,3099,2,2,2,2,2,4,4,5,5,5,5,3,5,4,0,0.0
29342,0,Male,Loyal Customer,70,Personal Travel,Eco,2986,3,5,3,2,3,3,3,3,4,5,4,5,5,3,87,84.0
29401,0,Male,Loyal Customer,57,Personal Travel,Eco,2615,3,5,3,2,4,3,4,4,5,2,4,5,5,4,0,0.0
29411,0,Male,Loyal Customer,37,Personal Travel,Eco,2315,3,5,3,2,2,3,2,2,4,5,5,4,5,2,0,0.0
29446,1,Female,Loyal Customer,14,Personal Travel,Eco,2267,2,5,2,2,3,4,4,5,5,5,5,3,5,4,0,0.0
29494,1,Female,Loyal Customer,65,Personal Travel,Eco,792,5,5,5,5,4,1,4,5,5,5,5,5,5,3,39,20.0
29511,1,Female,Loyal Customer,52,Personal Travel,Business,775,5,1,1,1,5,5,5,5,5,1,4,2,2,5,0,0.0
29574,1,Female,Loyal Customer,18,Personal Travel,Eco,2352,2,2,2,2,3,5,4,5,5,5,5,3,5,3,7,9.0
29612,0,Male,Loyal Customer,8,Personal Travel,Eco,2296,3,5,3,2,3,3,3,3,4,2,4,5,5,3,0,0.0
29630,1,Female,Loyal Customer,70,Personal Travel,Eco,556,2,3,2,2,4,4,5,5,5,5,5,3,5,3,8,5.0
29641,1,Female,Loyal Customer,65,Personal Travel,Eco,549,4,4,4,4,2,2,1,5,5,5,5,4,5,5,0,0.0
29662,0,Male,Loyal Customer,66,Personal Travel,Eco,1901,3,5,3,2,3,3,1,3,3,3,5,5,4,3,0,0.0
29766,1,Female,Loyal Customer,69,Personal Travel,Eco,320,5,5,5,5,1,1,4,5,5,5,5,3,5,1,0,0.0
29792,1,Female,Loyal Customer,12,Personal Travel,Eco,1725,3,3,2,3,4,4,5,5,5,5,5,5,5,4,0,0.0
29816,1,Female,Loyal Customer,19,Personal Travel,Eco,973,1,1,1,1,3,3,4,5,5,5,5,3,5,4,0,0.0
29866,0,Male,Loyal Customer,47,Personal Travel,Eco,1500,3,5,3,2,3,3,3,3,4,5,5,5,5,3,18,16.0
29957,1,Female,Loyal Customer,29,Personal Travel,Eco,2778,1,1,1,1,5,5,5,5,5,5,5,3,5,5,1,0.0
29962,1,Female,Loyal Customer,53,Personal Travel,Eco,1769,1,1,1,1,5,4,3,5,5,5,5,5,5,3,20,5.0
29966,1,Female,Loyal Customer,46,Personal Travel,Eco,1651,2,2,4,2,5,4,5,5,5,5,5,3,5,4,0,6.0
29973,0,Male,Loyal Customer,54,Personal Travel,Eco Plus,2622,3,5,3,3,3,3,3,3,5,2,4,3,4,3,10,0.0
30053,1,Female,Loyal Customer,56,Personal Travel,Eco,1168,3,3,3,3,5,5,5,5,1,5,3,2,4,5,0,0.0
30087,1,Female,Loyal Customer,18,Personal Travel,Eco,2565,4,4,4,4,2,4,5,5,5,5,5,3,5,5,15,8.0
30193,1,Female,Loyal Customer,11,Personal Travel,Eco,1967,4,4,4,4,4,5,4,5,5,5,5,3,5,3,4,4.0
30286,0,Male,Loyal Customer,53,Personal Travel,Eco,2026,3,5,3,3,2,3,1,2,3,3,5,5,4,2,21,0.0
30288,0,Male,Loyal Customer,34,Personal Travel,Eco,1722,3,5,3,3,5,3,5,5,4,2,4,3,5,5,6,0.0
30301,0,Male,Loyal Customer,67,Personal Travel,Eco,1988,3,5,3,3,1,3,1,1,1,5,3,4,1,1,6,0.0
30307,0,Male,Loyal Customer,14,Personal Travel,Eco,1843,3,5,3,3,5,3,5,5,3,5,5,4,5,5,0,4.0
30316,0,Male,Loyal Customer,51,Personal Travel,Eco Plus,1941,3,5,3,3,2,3,2,2,5,3,4,3,4,2,0,0.0
30323,0,Male,Loyal Customer,56,Personal Travel,Eco,2455,3,5,3,3,4,3,5,4,4,5,5,5,4,4,0,2.0
30362,1,Female,Loyal Customer,15,Personal Travel,Eco,1909,4,5,4,4,4,4,4,5,5,5,5,5,5,4,0,0.0
30435,0,Male,Loyal Customer,21,Personal Travel,Eco,1830,3,5,3,3,5,3,5,5,4,3,1,4,5,5,103,117.0
30456,0,Male,Loyal Customer,30,Personal Travel,Eco,1913,3,5,3,3,4,3,4,4,5,5,5,5,4,4,17,23.0
30460,0,Male,Loyal Customer,32,Personal Travel,Eco Plus,1287,3,5,3,3,3,3,1,3,5,2,5,4,4,3,6,25.0
30475,0,Male,Loyal Customer,10,Personal Travel,Business,2215,3,5,3,3,2,3,1,2,3,3,4,4,5,2,0,0.0
30506,1,Female,Loyal Customer,43,Personal Travel,Eco,485,4,2,4,4,4,4,5,5,5,5,5,5,5,4,0,2.0
30525,0,Male,Loyal Customer,47,Personal Travel,Eco,1216,3,5,3,3,2,3,1,2,5,4,4,3,4,2,70,70.0
30627,1,Female,Loyal Customer,20,Personal Travel,Eco,2117,1,1,1,1,3,4,4,5,5,5,5,4,5,3,0,0.0
30628,0,Male,Loyal Customer,36,Personal Travel,Eco,2200,3,5,3,3,3,3,3,3,2,3,1,1,3,3,80,74.0
30677,0,Male,Loyal Customer,32,Personal Travel,Eco,1449,3,5,3,3,3,3,2,3,5,5,4,3,5,3,0,4.0
30703,1,Female,Loyal Customer,70,Personal Travel,Eco,309,4,4,4,4,2,5,5,5,5,5,5,3,5,3,18,12.0
30740,1,Female,Loyal Customer,18,Personal Travel,Eco,1457,1,1,1,1,5,4,5,5,5,5,5,3,5,4,32,53.0
30761,0,Female,Loyal Customer,52,Personal Travel,Eco,1734,3,5,3,3,3,5,5,3,4,4,5,5,4,5,150,149.0
30816,0,Female,Loyal Customer,62,Personal Travel,Eco,146,3,5,3,3,4,4,5,5,5,3,5,5,5,4,0,0.0
30887,0,Male,Loyal Customer,51,Personal Travel,Eco,2691,3,5,3,4,2,3,1,2,3,4,4,5,5,2,3,0.0
30907,0,Male,Loyal Customer,19,Personal Travel,Eco,2186,3,5,3,4,3,3,5,3,3,5,3,3,5,3,0,0.0
30911,0,Male,Loyal Customer,62,Personal Travel,Eco,2920,3,5,3,4,5,3,5,5,1,1,5,1,2,5,0,0.0
31008,0,Male,Loyal Customer,58,Personal Travel,Eco,1934,3,5,3,4,1,3,1,1,5,4,4,5,4,1,31,32.0
31054,0,Female,Loyal Customer,23,Personal Travel,Eco,1605,3,5,3,4,2,3,2,2,5,4,5,5,5,2,32,11.0
31142,0,Female,Loyal Customer,23,Personal Travel,Eco,1522,3,5,3,4,4,3,4,4,3,4,5,3,5,4,0,22.0
31174,0,Female,Loyal Customer,32,Personal Travel,Eco,1716,3,5,3,4,5,3,5,5,5,2,5,3,5,5,0,0.0
31195,0,Female,Loyal Customer,60,Personal Travel,Eco,570,3,5,3,4,4,4,3,5,5,3,5,2,5,4,0,0.0
31268,0,Female,Loyal Customer,70,Personal Travel,Eco Plus,433,3,5,3,4,4,4,4,1,1,3,1,3,1,5,34,14.0
31322,0,Male,Loyal Customer,27,Personal Travel,Eco,1578,3,5,3,4,2,3,2,2,5,1,3,3,5,2,1,0.0
31464,0,Female,Loyal Customer,14,Personal Travel,Business,4027,3,5,3,5,3,3,3,3,4,2,4,3,5,3,89,73.0
31483,0,Female,Loyal Customer,25,Personal Travel,Eco,2672,3,5,3,5,5,3,5,5,2,1,4,4,4,5,0,12.0
31494,0,Female,Loyal Customer,15,Personal Travel,Eco,2658,3,5,3,5,5,3,5,5,4,4,5,4,5,5,5,0.0
31502,0,Male,Loyal Customer,15,Personal Travel,Eco Plus,2627,3,5,3,5,4,3,4,4,5,4,3,4,5,4,39,27.0
31546,0,Female,Loyal Customer,11,Personal Travel,Eco,2028,3,5,3,5,2,3,2,2,4,1,1,4,3,2,0,13.0
31597,0,Male,Loyal Customer,42,Personal Travel,Eco,1994,3,5,3,5,3,3,3,3,4,2,4,5,4,3,0,39.0
31637,0,Male,Loyal Customer,9,Personal Travel,Eco,2165,3,5,3,5,4,3,4,4,2,3,3,4,3,4,20,9.0
31640,0,Female,Loyal Customer,11,Personal Travel,Eco Plus,1397,3,5,3,5,4,3,4,4,4,2,5,5,4,4,0,0.0
31669,0,Female,Loyal Customer,64,Personal Travel,Eco,589,3,5,3,5,3,1,2,3,3,3,3,3,3,2,97,95.0
31801,0,Female,Loyal Customer,42,Personal Travel,Eco,130,3,5,3,5,1,1,1,1,1,3,1,3,1,5,33,22.0
31824,0,Male,Loyal Customer,31,Personal Travel,Eco,2159,3,5,4,1,1,4,1,1,3,4,4,5,4,1,0,9.0
31846,0,Female,Loyal Customer,36,Personal Travel,Eco,2291,3,5,4,2,1,4,4,1,2,5,1,4,1,1,0,0.0
31906,0,Male,Loyal Customer,21,Personal Travel,Business,1615,3,5,4,3,4,4,2,4,1,2,4,1,3,4,0,0.0
31946,0,Female,Loyal Customer,61,Personal Travel,Eco,890,3,5,4,4,2,5,5,5,5,4,4,3,5,3,0,0.0
31949,0,Female,Loyal Customer,15,Personal Travel,Eco,2335,3,5,4,4,3,4,5,3,1,2,5,3,2,3,0,0.0
31963,0,Male,Loyal Customer,45,Personal Travel,Eco,1575,3,5,4,4,2,4,2,2,1,4,2,3,3,2,5,11.0
32053,0,Female,Loyal Customer,47,Personal Travel,Eco,840,4,0,4,1,2,5,5,5,5,4,5,4,5,3,9,6.0
32083,0,Female,Loyal Customer,46,Personal Travel,Business,100,4,0,4,1,5,5,4,4,4,4,4,3,4,3,13,32.0
32146,0,Male,Loyal Customer,61,Personal Travel,Eco,1156,4,0,4,3,5,4,5,5,2,4,4,3,4,5,0,1.0
32194,0,Female,Loyal Customer,50,Personal Travel,Eco,2912,4,0,5,5,5,4,3,4,4,4,5,3,4,3,368,350.0
32263,1,Female,Loyal Customer,49,Personal Travel,Eco,492,4,1,4,1,2,2,1,2,2,4,2,3,2,1,2,0.0
32302,0,Male,Loyal Customer,56,Personal Travel,Eco,2187,4,1,4,2,1,4,1,1,3,2,2,2,1,1,0,17.0
32339,0,Female,Loyal Customer,70,Personal Travel,Eco,410,4,1,4,2,4,3,3,4,4,4,4,2,4,1,20,47.0
32347,0,Female,Loyal Customer,21,Personal Travel,Eco,1491,4,1,4,2,1,4,1,1,3,4,1,3,1,1,0,0.0
32404,0,Female,Loyal Customer,10,Personal Travel,Eco,2987,4,1,4,3,2,4,2,2,3,5,2,2,4,2,34,11.0
32501,1,Male,Loyal Customer,63,Personal Travel,Eco,1780,4,1,4,3,1,4,1,1,4,5,3,2,4,1,0,0.0
32503,0,Male,Loyal Customer,34,Personal Travel,Eco,2005,4,1,4,3,3,4,3,3,4,2,3,2,3,3,0,0.0
32720,0,Female,Loyal Customer,54,Personal Travel,Eco,2645,4,1,5,3,5,5,3,1,2,2,2,3,1,3,259,244.0
32772,1,Female,Loyal Customer,13,Personal Travel,Eco,1947,4,2,3,3,5,3,4,5,2,3,3,1,4,5,0,0.0
32785,0,Male,Loyal Customer,61,Personal Travel,Eco,1509,4,2,3,3,3,3,2,3,3,5,3,4,3,3,2,4.0
32819,0,Male,Loyal Customer,27,Personal Travel,Eco,1755,4,2,4,2,3,4,3,3,1,4,3,2,2,3,34,48.0
32845,1,Male,Loyal Customer,69,Personal Travel,Eco,1594,4,2,4,2,3,4,3,3,4,4,3,4,2,3,0,0.0
32865,0,Female,Loyal Customer,59,Personal Travel,Business,2473,4,2,4,3,5,3,4,2,2,4,2,3,2,4,0,0.0
32876,0,Female,Loyal Customer,16,Personal Travel,Eco Plus,3579,4,2,4,3,4,4,3,4,3,2,3,1,4,4,0,0.0
32877,0,Female,Loyal Customer,59,Personal Travel,Eco,1806,4,2,4,3,2,3,3,3,3,4,3,1,3,2,0,1.0
33098,0,Female,Loyal Customer,70,Personal Travel,Eco,256,4,2,4,3,2,3,3,2,2,4,2,4,2,2,10,3.0
33233,0,Female,Loyal Customer,44,Personal Travel,Eco,550,4,2,4,4,4,4,4,2,2,4,2,2,2,4,0,0.0
33354,0,Male,Loyal Customer,23,Personal Travel,Eco,1546,4,3,0,4,4,0,4,4,4,4,4,1,3,4,9,0.0
33363,0,Female,Loyal Customer,18,Personal Travel,Eco,1797,4,3,1,3,3,1,3,3,1,1,3,4,3,3,0,15.0
33410,0,Male,Loyal Customer,65,Personal Travel,Business,2510,4,3,4,1,1,1,2,1,1,4,1,3,1,1,0,0.0
33440,0,Male,Loyal Customer,23,Personal Travel,Eco,2285,4,3,4,1,3,4,3,3,1,1,3,2,4,3,0,0.0
33445,1,Female,Loyal Customer,44,Personal Travel,Business,479,4,3,4,1,5,5,3,5,5,4,3,1,5,4,0,0.0
33453,0,Female,Loyal Customer,38,Personal Travel,Eco,1596,4,3,4,1,1,4,1,1,3,2,2,3,4,1,0,0.0
